@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
NULL,no,0,no,NULL,2,?
NULL,no,0,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,2,no,VBT,2,?
NULL,no,1,no,NULL,2,?
NULL,no,1,no,NULL,3,?
IN,no,0,no,IN,1,?
NULL,no,2,no,RP,5,?
NULL,no,1,no,NULL,2,?
MD,no,2,no,NULL,2,?
NULL,yes,1,no,JJ,3,?
IN,no,3,no,NULL,3,?
NULL,no,0,no,NULL,1,?
NULL,yes,0,no,VBT,1,?
RB,no,0,yes,NULL,2,?
NULL,no,1,no,VBT,1,?
NULL,no,1,yes,NULL,2,?
VBT,no,0,no,NULL,1,?
IN,no,0,no,VBT,1,?
SC,no,2,no,IN,2,?
VBI,no,0,no,JJ,1,?
NULL,no,2,no,VBT,2,?
IN,no,1,yes,NULL,3,?
NULL,no,0,no,VBT,1,?
NEG,no,1,no,SC,2,?
NULL,no,1,no,VBT,2,?
VBT,no,1,no,IN,2,?
IN,no,0,no,NULL,1,?
RB,no,0,no,SC,1,?
NULL,no,1,no,VBT,1,?
IN,no,0,no,NULL,1,?
IN,no,0,no,NULL,1,?
