@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
SC,no,0,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
RB,no,0,no,VBI,1,?
NULL,no,1,no,JJ,2,?
NULL,no,0,no,NULL,1,?
IN,no,2,no,NULL,3,?
NULL,no,0,yes,NULL,1,?
NULL,no,1,no,NULL,2,?
NULL,no,2,yes,NULL,3,?
SC,no,0,yes,NULL,1,?
IN,no,1,yes,NULL,1,?
IN,no,0,no,NULL,1,?
RP,no,1,yes,IN,1,?
SC,no,0,no,NULL,1,?
RB,no,1,no,IN,1,?
RB,no,2,no,DT,2,?
NULL,no,2,no,JJ,3,?
IN,no,1,yes,RB,2,?
IN,no,1,no,NULL,2,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
IN,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
MD,no,2,yes,NULL,2,?
IN,no,2,no,JJ,2,?
VBI,no,0,no,NULL,1,?
NN,no,2,no,SC,2,?
IN,no,1,no,CC,1,?
NN,no,1,no,NN,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
NN,no,1,no,VBI,1,?
FW,no,0,no,VBI,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
FW,no,0,no,IN,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NULL,no,0,no,NULL,1,?
NN,no,1,yes,NULL,1,?
NN,no,1,yes,NULL,1,?
NN,no,1,yes,NULL,1,?
NN,no,1,yes,NULL,1,?
NN,no,1,yes,NULL,1,?
NN,no,1,yes,NULL,1,?
RB,no,1,yes,NULL,1,?
NULL,no,1,no,NN,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
NULL,no,1,no,NULL,1,?
SC,no,0,no,NULL,1,?
NULL,yes,1,no,VBT,1,?
SC,no,0,no,RB,1,?
NULL,yes,1,no,VBT,1,?
SC,no,0,no,RB,1,?
NULL,yes,1,no,VBT,1,?
SC,no,0,no,RB,1,?
NULL,yes,1,no,VBT,1,?
SC,no,0,no,RB,1,?
NULL,yes,1,no,VBT,1,?
SC,no,0,no,RB,1,?
NULL,yes,1,no,VBT,1,?
