@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
IN,no,1,no,NN,2,?
IN,no,1,yes,NULL,1,?
NULL,no,1,yes,NULL,1,?
NULL,no,3,no,NULL,3,?
NN,no,1,no,RB,1,?
NULL,no,0,no,NULL,1,?
IN,no,4,no,CC,4,?
RB,no,0,yes,NULL,1,?
NN,no,0,no,NULL,1,?
NN,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NN,no,0,no,VBT,1,?
NULL,no,2,no,VBT,2,?
NULL,no,2,no,NULL,2,?
NULL,no,2,no,NULL,2,?
NULL,no,2,no,NULL,2,?
NULL,no,2,no,NULL,2,?
NULL,no,2,no,NULL,2,?
NULL,no,2,no,NULL,2,?
NULL,yes,2,no,NN,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
NULL,yes,2,no,NULL,2,?
IN,no,1,no,NNP,1,?
IN,no,1,no,NNP,1,?
IN,no,1,no,NNP,1,?
IN,no,1,no,NNP,1,?
IN,no,1,no,NNP,1,?
IN,no,1,no,NNP,1,?
NULL,no,1,no,NNP,1,?
NULL,no,1,no,NULL,3,?
NULL,no,1,no,NULL,3,?
NULL,no,1,no,NULL,3,?
NULL,no,1,no,NULL,3,?
NULL,no,1,no,NULL,3,?
NULL,no,1,no,NULL,3,?
